country,dwellings_without_basic_facilities,housing_expenditure,rooms_per_person,household_net_adjusted_disposable_income,household_net_wealth,labour_market_insecurity,employment_rate,long-term_unemployment_rate,personal_earnings,quality_of_support_network,educational_attainment,student_skills,years_in_education,air_pollution,water_quality,stakeholder_engagement_for_developing_regulations,voter_turnout,life_expectancy,self-reported_health,life_satisfaction,feeling_safe_walking_alone_at_night,homicide_rate,employees_working_very_long_hours,time_devoted_to_leisure_and_personal_care
Australia,5.075675675675676,20.0,1.6324324324324324,32759.0,427064.0,5.4,73,1.31,49126.0,95,81.0,502.0,21.0,5,93,2.7,91,82.5,85.0,7.3,63.5,1.1,13.04,14.35
Austria,0.9,21.0,1.6,33541.0,308325.0,3.5,72,1.84,50349.0,92,85.0,492.0,17.0,16,92,1.3,80,81.7,70.0,7.1,80.6,0.5,6.66,14.55
Belgium,1.9,21.0,2.2,30364.0,386006.0,3.7,63,3.54,49675.0,91,77.0,503.0,19.3,15,84,2.0,89,81.5,74.0,6.9,70.1,1.0,4.75,15.7
Canada,0.2,22.0,2.6,30854.0,423849.0,6.0,73,0.77,47622.0,93,91.0,523.0,17.3,7,91,2.9,68,81.9,88.0,7.4,82.2,1.3,3.69,14.56
Chile,9.4,18.0,1.2,27807.310344827587,100967.0,8.7,63,2.836842105263158,25879.0,85,65.0,443.0,17.5,16,71,1.3,47,79.9,57.0,6.5,47.9,4.2,9.72,15.084545454545456
Colombia,23.9,17.0,1.2,27807.310344827587,283705.75,6.8121212121212125,67,0.79,39817.514285714286,89,54.0,410.0,14.1,10,75,1.4,53,76.2,66.8108108108108,6.3,44.4,24.5,26.56,15.084545454545456
Czech Republic,0.7,24.0,1.4,21453.0,283705.75,3.1,74,1.04,25372.0,91,94.0,491.0,17.9,20,87,1.6,61,79.1,60.0,6.7,72.3,0.5,5.65,15.084545454545456
Denmark,0.5,23.0,1.9,29606.0,118637.0,4.2,74,1.31,51466.0,95,81.0,504.0,19.5,9,95,2.0,86,80.9,71.0,7.6,83.5,0.6,2.34,15.87
Estonia,7.0,17.0,1.6,19697.0,159373.0,3.8,74,1.92,24336.0,92,89.0,524.0,17.7,8,84,2.7,64,77.8,53.0,5.7,69.0,3.1,2.42,14.9
Finland,0.5,23.0,1.9,29943.0,200827.0,3.9,70,2.13,42964.0,95,88.0,523.0,19.8,6,95,2.2,67,81.5,70.0,7.6,85.1,1.3,3.81,15.17
